Xpos,Ypos,m_z,mobility,inten,msFWHM,mobilityFWHM
0.0000,0.0000,554.2747,90.134,90691,0.022454,4.110
0.0000,0.0000,592.2273,93.111,344,0.02093,3.136
0.0000,0.0000,655.1730,97.601,431,0.021672,1.750
0.0000,0.0000,576.2621,91.891,437,0.031645,3.691
0.0000,0.0000,638.2344,99.232,527,0.040389,3.071
0.0000,0.0000,652.1773,97.745,657,0.030069,3.739
0.0000,0.0000,654.1764,98.548,713,0.039083,3.133
0.0000,0.0000,554.5564,90.388,756,0.022045,3.323
0.0000,0.0000,554.4058,90.358,1831,0.01963,3.322
0.0000,0.0000,556.2769,90.178,2803,0.031762,2.752
0.0000,0.0000,555.2764,90.393,14457,0.024198,3.598
0.0000,0.0000,554.2736,90.307,45246,0.021578,3.738
0.0000,0.0000,556.2853,89.296,419,0.032327,4.270
0.0000,0.0000,555.2755,89.388,2636,0.02481,3.587
0.0000,0.0000,554.2755,89.948,6568,0.024239,3.503
0.0000,0.0000,232.7672,23.286,759,0.015838,2.141
0.0000,0.0000,555.2789,89.878,3570,0.02467,3.405
0.0000,0.0000,554.2733,90.156,8999,0.019132,3.278
0.0000,0.0000,232.7674,23.561,646,0.016064,2.346
0.0000,0.0000,490.2368,81.170,660,0.024438,1.739
0.0000,0.0000,490.2379,81.420,468,0.023967,3.268
0.0000,0.0000,134.8675,20.470,706,0.013382,2.188
0.0000,0.0000,195.0458,34.542,3393,0.013548,2.502
0.0000,0.0000,234.7646,23.398,629,0.016753,2.177
0.0000,0.0000,195.0451,34.067,4884,0.013327,1.951
0.0000,0.0000,195.0455,34.103,1419,0.013961,2.749
0.0000,0.0000,611.3527,102.324,687,0.035136,2.747
0.0000,0.0000,612.3432,102.101,722,0.025603,2.721
0.0000,0.0000,621.3728,103.056,883,0.030948,3.644
0.0000,0.0000,610.3468,101.947,2190,0.025543,3.962
0.0000,0.0000,620.3805,103.940,2890,0.030314,3.327
0.0000,0.0000,132.8719,20.980,779,0.010563,2.644
0.0000,0.0000,134.8698,20.103,920,0.012323,2.253
0.0000,0.0000,187.0990,34.896,1203,0.013962,2.323
0.0000,0.0000,611.3491,101.525,1685,0.02774,2.795
0.0000,0.0000,621.3791,103.126,2034,0.028494,4.450
0.0000,0.0000,612.3472,101.612,2105,0.024785,4.101
0.0000,0.0000,610.3483,101.253,3751,0.028691,3.977
0.0000,0.0000,620.3731,102.944,4393,0.030599,3.951
0.0000,0.0000,621.3833,101.343,319,0.04241,3.012
0.0000,0.0000,611.3507,101.212,1023,0.024537,3.551
0.0000,0.0000,612.3463,101.859,1394,0.026977,2.734
0.0000,0.0000,620.3757,103.837,2323,0.027335,3.824
0.0000,0.0000,187.1019,34.655,2736,0.013518,2.291
0.0000,0.0000,610.3482,102.095,2756,0.027442,3.312
0.0000,0.0000,611.3465,101.804,366,0.027683,2.432
0.0000,0.0000,621.3818,104.266,565,0.026393,3.951
